panelid,site,id95,id97,id99,id02,year,rainy,tindex,iindex,pdsf,pdsp,strf,strp,hhsize,hhsize2,workers,tractor,ntract,carabao,ncarab,educhoh,agehoh,parcel,crop,rice,area,irrig,irrig2,dist_can,silt_pbm,days_clr,irrdry,farmsize,pctown,tenure,own_all,rent_all,rent,share,lf_p_ha,ls_p_ha,lu_p_ha,ll_p_ha,lh_p_ha,lt_p_ha,lf_f_ha,ls_f_ha,lu_f_ha,ll_f_ha,lh_f_ha,lt_f_ha,lf_h_ha,ls_h_ha,lu_h_ha,ll_h_ha,lh_h_ha,lt_h_ha,q_urea,q_comp,q_1620,foliar,qfoliar,tracdays,tracrate,q_fert,q_seed,tc_fert,tc_herb,tc_inse,tc_moll,tc_pest,q_harv,lny,lnl,lnf,lnp,lnllnl,lnflnf,lnplnp,lnllnf,lnllnp,lnflnp,yield,q_ure_ha,q_com_ha,q_162_ha,q_f_ha,q_s_ha,tc_f_h,tc_h_ha,tc_i_ha,tc_m_ha,tc_p_h,inc_live,inc_poul,inc_frui,inc_bus,inc_wage,inc_rice,inc_corn,inc_tot,gv_rice,gv_corn,ck_rice,ck_corn,cl_rice,cl_corn,lf_atot,ls_atot,lu_atot,ll_atot,lh_atot,lt_atot,pa_atot,inc_atot,hiredup,wage_u,wage_l,wage,p_fert,lt_pa,lh_pa,lu_pa,_est_r1
245,2,212,245,TL12,TL040,1999,1,5,245,11,7,113,164,3,9,1,0,0,1,1,6,43,1,1,1,2,1,1,1,1,3,0,5.5,0,0,0,0,0,0,.5,0,9.5,3,12.5,13,0,0,20,12,32,32,0,0,5,1,6,6,0,0,0,,,,,0,0,0,1550,4280,1100,6930,2300,7.7410002,3.951,0,8.8439999,7.8060002,0,39.105999,0,34.944,0,2300,0,0,0,0,0,0,1550,4280,1100,6930,135003,0,0,0,0,-4850,0,130153,17250,0,6930,0,15170,0,5,0,125,82,208,212,3,9550,1,91,140,107,,34,33.700001,23,1
245,2,212,245,TL12,TL040,1999,0,6,245,11,7,113,164,3,9,1,0,0,1,1,6,43,1,1,1,1,1,1,1000,1,3,1,5.5,1,1,0,0,0,0,2,0,36,12,48,50,2,0,20,12,32,34,0,0,0,26,26,26,300,300,0,,,,,600,0,2550,1550,4200,1100,6850,4300,7.6739998,4.71,5.7069998,8.1389999,11.09,16.285999,33.123001,26.878,38.332001,46.451,2150,150,150,0,300,0,1275,775,2100,550,3425,135003,0,0,0,0,14400,0,149403,32250,0,9400,0,8450,0,5,0,125,82,208,212,3,9550,1,85,150,116,4.3000002,36.700001,35.299999,18.700001,1
245,2,212,245,TL12,TL040,2002,1,7,245,11,7,113,164,2,4,2,0,0,1,1,6,46,1,1,1,2,1,1,1,1,1,0,5.5,.55000001,0,0,0,0,9000,0,0,26.5,0,26.5,26.5,4,0,15,0,15,19,8.5,0,18,0,18,26.5,200,200,0,0,0,0,0,400,50,1960,0,880,0,880,4150,7.638,4.29,5.303,6.0890002,9.2040005,14.063,18.538,22.754,26.125,32.292,2075,100,100,0,200,25,980,0,440,0,440,54400,0,0,0,0,14286,0,68686,27266,0,2840,0,10140,0,33,0,792,19,811,844,8.5,72226,1,57,380,65,9.6000004,16.9,14,14,1
245,2,212,245,TL12,TL040,2002,0,8,245,11,7,113,164,2,4,2,0,0,1,1,6,46,1,1,1,.5,1,1,1,1,1,1,5.5,.55000001,0,0,0,0,0,0,0,64,6,70,70,8,0,0,0,0,8,8,0,30,0,30,38,50,50,0,0,0,3,408,100,12.5,965,500,0,0,500,1050,7.6500001,4.7620001,5.303,6.9089999,11.339,14.063,23.865,25.254999,32.901001,36.639,2100,100,100,0,200,25,1930,1000,0,0,1000,54400,0,0,0,0,-6315,0,48085,0,0,1465,0,4850,0,33,0,792,19,811,844,8.5,72226,1,57,380,65,9.6000004,6.8000002,5.9000001,5.5,1
248,2,,248,TL32,,1995,1,1,248,6,5,116,169,4,16,1,0,0,1,1,10,60,1,1,1,1.8,0,0,0,0,0,0,6,1,1,1,0,0,0,1.67,0,3.3299999,0,3.3299999,5,4.4400001,0,8.8900003,5.5599999,14.44,18.889999,3.3299999,0,6.1100001,10,16.110001,19.440001,360,0,0,,,,,360,250,1440,0,680,0,680,6900,8.2519999,3.7920001,5.303,5.9369998,7.1890001,14.063,17.624001,20.108999,22.511,31.485001,3833,200,0,0,200,139,800,0,378,0,378,0,0,0,0,0,26880,0,26880,34500,0,3870,0,3750,0,47,0,95,38,133,180,4.3000002,48865,1,44,52,45,4,18.1,14.2,7.6999998,1
248,2,,248,TL32,,1997,1,3,248,6,5,116,169,4,16,1,0,0,1,2,10,62,1,1,1,6,0,0,50,0,0,0,13,1,1,1,0,0,0,0,0,0,4.5,4.5,4.5,0,0,0,.82999998,.82999998,.82999998,1.17,0,0,4.5,4.5,5.6700001,100,150,0,,,,,250,1200,1865,0,480,0,480,5250,6.7750001,2.4849999,3.753,4.3940001,3.0869999,7.0440001,9.6560001,9.3269997,10.92,16.493999,875,17,25,0,42,200,311,0,80,0,80,1200,0,0,0,60000,25830,0,87030,36750,0,2345,0,8575,0,23,0,0,86,86,109,7,112860,0,,75,75,7.5,9.3999996,8.3999996,0,1
248,2,,248,TL32,,1997,0,4,248,6,5,116,169,4,16,1,0,0,1,2,10,62,1,1,1,1,1,1,50,0,0,1,13,1,1,1,0,0,0,2,0,0,3,3,5,7,0,0,3,3,10,7,0,0,21,21,28,50,100,0,,,,,150,100,1110,0,0,0,0,2625,7.8730001,3.7839999,5.0170002,0,7.1599998,12.587,0,18.986,0,0,2625,50,100,0,150,100,1110,0,0,0,0,1200,0,0,0,60000,25830,-1185,85845,36750,0,2345,1185,8575,0,23,0,0,86,86,109,7,112860,0,,75,75,7.4000001,6.0999999,3.9000001,0,1
248,2,,248,TL32,,1999,1,5,248,6,5,116,169,5,25,5,0,0,0,0,10,65,1,1,1,1,1,1,2,0,0,0,1.6,1,1,1,0,0,0,42,0,38.25,38.25,76.5,118.5,16,0,53,53,106,122,2.5,0,4,11,15,17.5,150,100,0,,,,,250,0,2040,0,570,0,570,2000,7.132,5.5570002,5.0580001,5.8779998,15.439,12.791,17.278,28.106001,32.665001,29.732,1250,94,62,0,156,0,1275,0,356,0,356,0,0,2880,0,0,-1150,0,1730,15000,0,2610,0,13540,0,122,0,183,190,433,494,2.5999999,16530,1,77,77,77,8.1999998,99.199997,76,36.599998,1
248,2,,248,TL32,,1999,0,6,248,6,5,116,169,5,25,5,0,0,0,0,10,65,1,1,1,1.6,1,1,2,0,0,1,1.6,1,1,1,0,0,0,26.25,0,23.91,23.91,47.810001,74.059998,10,0,23.75,23.75,47.5,57.5,1.87,0,6.8699999,6.8699999,13.75,15.62,150,100,0,,,,,250,160,1230,0,550,0,550,4280,8.3620005,4.9980001,5.5250001,6.3119998,12.492,15.265,19.919001,27.618999,31.549,34.875,4280,150,100,0,250,160,1230,0,550,0,550,0,0,2880,0,0,17680,0,20560,32100,0,1780,0,12640,0,122,0,183,190,433,494,2.5999999,16530,1,75,75,75,4.9000001,90.599998,67.099998,33.599998,1
297,2,,,,TL027,2002,1,7,297,2,2,164,169,3,9,1,0,0,1,1,7,23,1,1,1,.75,1,1,300,0,0,0,1.5,1,1,1,0,0,0,9.3299999,0,26.67,9.3299999,36,45.330002,8,0,0,5.3299999,5.3299999,13.33,16,0,10.67,20,30.67,46.669998,50,0,0,1,2,0,0,50,50,890,270,600,0,870,2950,8.2770004,4.6669998,4.2150002,7.0570002,10.888,8.8809996,24.900999,19.667999,32.931999,29.743,3933,67,0,0,67,67,1187,360,800,0,1160,0,0,0,15000,500,12602,0,28102,19913,0,2160,0,5150,0,72,0,56,44,100,172,1.5,39824,1,78,120,96,10.1,52.700001,36,18.700001,1
297,2,,,,TL027,2002,0,8,297,2,2,164,169,3,9,1,0,0,1,1,7,23,1,1,1,.75,1,1,300,0,0,1,1.5,1,1,1,0,0,0,41.330002,0,26.67,9.3299999,36,77.330002,8,0,0,0,0,8,13.33,0,10.67,20,30.67,44,0,0,0,1,1.5,0,0,0,150,790,0,212.5,0,212.5,2150,7.961,4.8699999,0,5.6500001,11.859,0,15.962,0,27.517,0,2867,0,0,0,0,200,1053,0,283,0,283,0,0,0,15000,500,11722,0,27222,17200,0,1003,0,4476,0,72,0,56,44,100,172,1.5,39824,1,78,120,96,10.1,64.699997,33.299999,18.700001,1
